id,mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,namkhoahoc
1.0,BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2,1995.0,1.0, TP. Hồ Chí Minh, KTPM0001, CNPM, CQUI,8, D480103,3.0, Thành phố Hồ Chí Minh,2013
2.0,2420ED57XPvAibaEXe/Lh6v1XxTKJa6JLFRUPkLM,1995.0,1.0, Đồng Tháp, HTTT0001, HTTT, CTTT,8, D480104,3.0, Huyện Hóc Môn,2013
3.0,83B76C01XPvAibaEXe/lOccskaOiO2K46r7t4qnt,1994.0,1.0, Hà Nam Ninh, KHMT2013, KHMT, CQUI,8, D480101,5.0, Tỉnh Hà Nam,2013
4.0,91F785ABXPvAibaEXe/lOccskaOiO5y4GbVvuRQu,1995.0,1.0, TP. Hồ Chí Minh, HTTT0001, HTTT, CTTT,8, D480104,3.0, Thành phố Hồ Chí Minh,2013
5.0,007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1995.0,1.0, Thành phố Hồ Chí Minh, MMTT0001, MMT&TT, CQUI,8, D480201,8.0, Thành phố Hồ Chí Minh,2013
6.0,4D1054A2XPvAibaEXe8WD3qnVG2b/aV/yYzs56/D,1995.0,0.0, Hà Tĩnh, KTPM0001, CNPM, CQUI,8, D480103,3.0, Tỉnh Hà Tĩnh,2013
8.0,AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,1995.0,1.0, Thanh Hóa, MMTT0001, MMT&TT, CQUI,8, D480201,8.0, Tỉnh Thanh Hóa,2013
12.0,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola,1995.0,1.0, Quảng Ngãi, HTTT0001, HTTT, CQUI,8, D52480104,3.0, Tình Quảng Ngãi,2013
13.0,EAA0B693XPvAibaEXe99j2P15eeB04XwhZ0tzlI4,1994.0,1.0, TP. Hồ Chí Minh, KHMT0001, KHMT, CQUI,8, D480101,3.0, Quận 12,2013
14.0,01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,1993.0,1.0, Khánh Hoà, KHTN2013, KHMT, CNTN,8, D480101,5.0, Tỉnh Khánh Hoà,2013
15.0,9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y,1995.0,1.0, Khánh Hoà, MMTT0001, MMT&TT, CQUI,8, D480102,3.0, Tỉnh Khánh Hoà,2013
16.0,4DD248D9XPvAibaEXe+6MN9FoW2mqeloV0TjpGtd,1995.0,1.0, Cần Thơ, MTCL2013, KTMT, CLC,8, D520214,3.0, Thành phố Cần Thơ,2013
17.0,FF601AFCXPvAibaEXe93PEySAJOVk+OR7t0UZryF,1991.0,1.0, Khánh Hoà, CNTT2013, KTTT, CQUI,8, D480201,3.0, Tỉnh Khánh Hoà,2013
18.0,F257BE3EXPvAibaEXe+lo6eJkHWaQX9v5OomNEKz,1995.0,1.0, Khánh Hoà, KTPM0001, CNPM, CQUI,8, D480103,3.0, Tỉnh Khánh Hoà,2013
19.0,933C1FD5XPvAibaEXe9M021iVaAwILPVFi2513M9,1995.0,0.0, Gia Lai, KTPM2013, CNPM, CQUI,8, D480103,3.0, Thị xã An Khê,2013
20.0,C29EA000XPvAibaEXe8jolcsAIssTLKSQEcU+Uyk,1995.0,1.0, Tiền Giang, MMTT0001, MMT&TT, CQUI,8, D480102,3.0, Tỉnh Tiền Giang,2013
21.0,931C7551XPvAibaEXe9ysTifnGoMwRbIrVzkrPrw,1995.0,1.0, Vĩnh Long, ANTT2013, MMT&TT, CQUI,8, D480201,5.0, Huyện Bình Tân,2013
22.0,7081FE0AXPvAibaEXe/WSo41+3xFkBWpG5iRJavV,1995.0,1.0, TP. Hồ Chí Minh, KTMT2013, KTMT, CQUI,8, D520214,3.0, Quận Thủ Đức,2013
23.0,1144C476XPvAibaEXe/FejQN8/S5fMTeBtQ6DFpo,1995.0,1.0, TP. Hồ Chí Minh, KHMT2013, KHMT, CQUI,8, D480101,3.0, Quận Thủ Đức,2013
24.0,E80CFC67XPvAibaEXe+fmxcqgvribAs3hMtuYLgw,1995.0,0.0, Sông Bé, MMTT0001, MMT&TT, CQUI,8, D480102,3.0, Phường Phú Cường,2013
25.0,59CD26EEXPvAibaEXe8wlx2/dthDAuMmTWFxVmcu,1994.0,1.0, Thành phố Hồ Chí Minh, MMTT0001, MMT&TT, CQUI,8, D480102,8.0, Thành phố Hồ Chí Minh,2013
26.0,ADD6626AXPvAibaEXe/SxwNRab2vgDj3JMKIXWrE,1995.0,1.0, Kiên Giang, KHMT0001, KHMT, CQUI,8, D480101,3.0, Thành phố Hồ Chí Minh,2013
27.0,4AFE5A8EXPvAibaEXe9MLbI3cCq2BMqcbjt1Z6h0,1995.0,1.0, Lâm Đồng, ANTT2013, MMT&TT, CQUI,8, D480299,3.0, Tỉnh Lâm Đồng,2013
28.0,809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,1994.0,1.0, TP. Hồ Chí Minh, PMCL2013, CNPM, CLC,8, D480103,3.0, Thành phố Hồ Chí Minh,2013
30.0,C4B57B74XPvAibaEXe+wmtNhlfgIwrNTVgutCknX,1995.0,1.0, Hải Dương, MMTT0001, MMT&TT, CQUI,8, D480102,8.0, Tỉnh Lâm Đồng,2013
31.0,F0D55309XPvAibaEXe9JdUmjPcaT8jvBqJAmS4kY,1995.0,1.0, Lâm Đồng, KHMT2013, KHMT, CQUI,8, D480101,5.0, Huyện Di Linh,2013
32.0,C47110EFXPvAibaEXe/PGAaNNWvbUF95KJJbQ6Bs,1995.0,1.0, Kiên Giang, ANTT2013, MMT&TT, CQUI,8, D480299,3.0, Tỉnh Kiên Giang,2013
33.0,074D8586XPvAibaEXe8s1xx8DWM0qvMydWkQI9z8,1995.0,1.0, Trà Vinh, MMTT0001, MMT&TT, CQUI,8, D480299,3.0, Tỉnh Trà Vinh,2013
34.0,FE92B059XPvAibaEXe9E+KuE/nFliSKxEUGPiMAY,1995.0,0.0, TP. Hồ Chí Minh, KTPM0001, CNPM, CQUI,8, D480103,3.0, Huyện Đức Hoà,2013
35.0,C57530A4XPvAibaEXe8hvnm4ihleLVTcBUD7ztLV,1995.0,0.0, TP. Hồ Chí Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5.0, Thành phố Hồ Chí Minh,2013
36.0,3E479342XPvAibaEXe+kwIr/VXjl01D1BeeuKZAN,1995.0,1.0, Nam Định, KTPM0001, CNPM, CQUI,8, D480103,5.0, Tỉnh Lâm Đồng,2013
37.0,601E0986XPvAibaEXe+y4Ivhjp8SxpmSs9JVmGUu,1995.0,1.0, TP. Hồ Chí Minh, KTMT0001, KTMT, CQUI,8, D520214,3.0, Thành phố Hồ Chí Minh,2013
38.0,E210AA8EXPvAibaEXe/asAVnWDRS7eUZUTEqhAQl,1995.0,1.0, TP. Hồ Chí Minh, MMTT2013, MMT&TT, CQUI,8, D480102,5.0, Thành phố Hải Phòng,2013
39.0,5B67FF77XPvAibaEXe/SxwNRab2vgHQoiSebh7by,1995.0,1.0, Quảng Nam, KTMT0001, KTMT, CQUI,8, D520214,3.0, Tỉnh Quảng Nam,2013
40.0,A71E7B7EXPvAibaEXe+gsTDvgY5pDvugtLkA9WY2,1995.0,1.0, Hải Dương, MMTT0001, MMT&TT, CQUI,8, D480299,8.0, Huyện Kinh Môn,2013
41.0,9CB66503XPvAibaEXe9E+KuE/nFliVHlSAEdjpcv,1995.0,1.0, Bình Thuận, CNTT0001, KTTT, CQUI,8, D480201,3.0, Tỉnh Bình Thuận,2013
42.0,A406E7FDXPvAibaEXe/XBbLEWRhgQYQrAzwms21C,1995.0,1.0, TP. Hồ Chí Minh, KTMT0001, KTMT, CQUI,8, D520214,3.0, Thành phố Hồ Chí Minh,2013
43.0,6E67EB19XPvAibaEXe/X/wixypGyAsT5QiAaYiqu,1995.0,1.0, Trà Vinh, MMTT0001, MMT&TT, CQUI,8, D480102,3.0, Tỉnh Trà Vinh,2013
44.0,62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,1995.0,1.0, Quảng Bình, KHMT2013, KHMT, CQUI,8, D480101,3.0, Tỉnh Quảng Bình,2013
45.0,0CBE4487XPvAibaEXe+fmxcqgvribAaiAPDGKOrx,1995.0,1.0, TP. Hồ Chí Minh, CTTT2013, HTTT, CTTT,8, D480104,5.0, Thành phố Hồ Chí Minh,2013
46.0,2441A7C2XPvAibaEXe8VekUw4ELehn5inKXOCKf2,1995.0,1.0, Quảng Ngãi, KTPM0001, CNPM, CLC,8, D480103,3.0, Tỉnh Quảng Ngãi,2013
47.0,C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,1995.0,1.0, Lâm Đồng, HTTT2013, HTTT, CQUI,8, D480104,3.0, Tỉnh Lâm Đồng,2013
48.0,52E66659XPvAibaEXe/7sxkigC7f5zukR2WlNRO3,1995.0,1.0, Quảng Ngãi, KTMT0001, KTMT, CQUI,8, D520214,8.0, Tỉnh Quảng Ngãi,2013
49.0,516D213CXPvAibaEXe9JdUmjPcaT8sQIfWYBArTw,1995.0,1.0, Quảng Ngãi, HTTT2013, HTTT, CQUI,8, D480104,5.0, Tình Quảng Ngãi,2013
50.0,41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,1995.0,1.0, Lâm Đồng, MMTT0001, MMT&TT, CQUI,8, D480299,5.0, Tỉnh Lâm Đồng,2013
51.0,6EB4408FXPvAibaEXe+cD1fKElqxL06nWB8JXnUx,1995.0,1.0, Lâm Đồng, HTTT2013, HTTT, CQUI,8, D480104,5.0, Tỉnh Lâm Đồng,2013
52.0,B5953D10XPvAibaEXe+BHZkA9XgGXWnkm2L+acxT,1995.0,1.0, Quảng Ngãi, KHMT2013, KHMT, CQUI,8, D480101,3.0, Tình Quảng Ngãi,2013
